VehicleID,DriverName,Age,Gender,Speed,TravelDistance,TravelTime,TrafficEvent
99,Driver_99,53,Male,129.0,759.0,353.0232558,Breakdown
100,Driver_100,41,Female,99.0,394.0,238.7878788,Normal
101,Driver_101,33,Female,114.0,887.0,466.8421053,Accident
102,Driver_102,31,Male,174.0,821.0,283.1034483,Accident
103,Driver_103,39,Male,55.0,300.0,327.2727273,Breakdown
106,Driver_106,23,Male,95.0,401.0,253.2631579,Traffic Jam
107,Driver_107,59,Female,43.0,65.0,90.69767442,Normal
108,Driver_108,53,Male,141.0,795.0,338.2978723,Breakdown
109,Driver_109,18,Male,55.0,136.0,148.3636364,Traffic Jam
111,Driver_111,23,Female,151.0,851.0,338.1456954,Traffic Jam
112,Driver_112,48,Female,42.0,955.0,1364.285714,Accident
113,Driver_113,18,Female,103.0,332.0,193.3980583,Breakdown
114,Driver_114,67,Female,49.0,314.0,384.4897959,Accident
115,Driver_115,68,Female,101.0,699.0,415.2475248,Normal
116,Driver_116,54,Male,102.0,973.0,572.3529412,Accident
117,Driver_117,52,Female,75.0,270.0,216.0,Accident
118,Driver_118,66,Male,117.0,969.0,496.9230769,Traffic Jam
119,Driver_119,47,Male,184.0,233.0,75.97826087,Breakdown
120,Driver_120,21,Female,171.0,787.0,276.1403509,Breakdown
121,Driver_121,52,Male,152.0,146.0,57.63157895,Accident
122,Driver_122,60,Female,81.0,171.0,126.6666667,Normal
123,Driver_123,31,Male,21.0,301.0,860.0,Normal
124,Driver_124,66,Male,146.0,227.0,93.28767123,Accident
125,Driver_125,57,Male,63.0,716.0,681.9047619,Normal
126,Driver_126,39,Female,89.0,856.0,577.0786517,Accident
128,Driver_128,18,Female,37.0,207.0,335.6756757,Normal
129,Driver_129,28,Female,177.0,559.0,189.4915254,Traffic Jam
130,Driver_130,68,Male,168.0,567.0,202.5,Accident
131,Driver_131,61,Female,106.0,691.0,391.1320755,Normal
132,Driver_132,41,Female,103.0,44.0,25.63106796,Traffic Jam
134,Driver_134,52,Male,56.0,975.0,1044.642857,Accident
135,Driver_135,53,Female,191.0,358.0,112.460733,Normal
136,Driver_136,48,Male,142.0,263.0,111.1267606,Breakdown
137,Driver_137,21,Female,32.0,122.0,228.75,Accident
138,Driver_138,36,Male,193.0,176.0,54.71502591,Traffic Jam
139,Driver_139,64,Female,121.0,173.0,85.78512397,Accident
140,Driver_140,53,Male,117.0,778.0,398.974359,Breakdown
141,Driver_141,38,Female,65.0,516.0,476.3076923,Traffic Jam
142,Driver_142,35,Male,36.0,394.0,656.6666667,Traffic Jam
143,Driver_143,68,Female,25.0,124.0,297.6,Breakdown
144,Driver_144,45,Female,72.0,757.0,630.8333333,Normal
145,Driver_145,32,Female,50.0,508.0,609.6,Traffic Jam
146,Driver_146,59,Female,12.0,35.0,175.0,Traffic Jam
147,Driver_147,19,Female,152.0,479.0,189.0789474,Normal
148,Driver_148,54,Female,147.0,514.0,209.7959184,Traffic Jam
149,Driver_149,28,Male,195.0,295.0,90.76923077,Normal
150,Driver_150,40,Female,138.0,207.0,90.0,Breakdown
152,Driver_152,58,Female,180.0,863.0,287.6666667,Normal
153,Driver_153,29,Male,92.0,435.0,283.6956522,Traffic Jam
154,Driver_154,20,Female,14.0,142.0,608.5714286,Accident
155,Driver_155,69,Male,46.0,855.0,1115.217391,Traffic Jam
156,Driver_156,34,Female,35.0,47.0,80.57142857,Accident
157,Driver_157,50,Male,151.0,996.0,395.7615894,Traffic Jam
158,Driver_158,18,Female,61.0,856.0,841.9672131,Breakdown
159,Driver_159,56,Male,117.0,806.0,413.3333333,Normal
160,Driver_160,37,Male,181.0,862.0,285.7458564,Traffic Jam
162,Driver_162,60,Female,173.0,747.0,259.0751445,Accident
164,Driver_164,58,Female,175.0,83.0,28.45714286,Accident
165,Driver_165,31,Female,110.0,983.0,536.1818182,Traffic Jam
166,Driver_166,48,Female,167.0,519.0,186.4670659,Normal
167,Driver_167,42,Female,94.0,587.0,374.6808511,Normal
168,Driver_168,20,Male,147.0,428.0,174.6938776,Traffic Jam
169,Driver_169,21,Female,109.0,514.0,282.9357798,Accident
170,Driver_170,48,Male,178.0,458.0,154.3820225,Traffic Jam
171,Driver_171,52,Female,65.0,475.0,438.4615385,Traffic Jam
172,Driver_172,61,Male,171.0,177.0,62.10526316,Traffic Jam
173,Driver_173,31,Female,82.0,848.0,620.4878049,Accident
174,Driver_174,66,Female,89.0,402.0,271.011236,Breakdown
175,Driver_175,58,Male,101.0,276.0,163.960396,Traffic Jam
176,Driver_176,26,Female,120.0,255.0,127.5,Breakdown
177,Driver_177,37,Female,184.0,148.0,48.26086957,Normal
178,Driver_178,49,Female,72.0,834.0,695.0,Traffic Jam
179,Driver_179,26,Female,178.0,412.0,138.8764045,Traffic Jam
180,Driver_180,44,Female,34.0,741.0,1307.647059,Normal
182,Driver_182,21,Female,108.0,266.0,147.7777778,Traffic Jam
183,Driver_183,62,Female,139.0,746.0,322.0143885,Accident
184,Driver_184,32,Male,104.0,14.0,8.076923077,Breakdown
185,Driver_185,50,Female,164.0,438.0,160.2439024,Breakdown
186,Driver_186,22,Male,126.0,327.0,155.7142857,Traffic Jam
187,Driver_187,21,Female,177.0,985.0,333.8983051,Accident
188,Driver_188,63,Male,48.0,779.0,973.75,Breakdown
189,Driver_189,29,Male,74.0,122.0,98.91891892,Traffic Jam
190,Driver_190,40,Male,139.0,300.0,129.4964029,Breakdown
191,Driver_191,31,Female,93.0,614.0,396.1290323,Traffic Jam
192,Driver_192,63,Female,34.0,390.0,688.2352941,Traffic Jam
193,Driver_193,29,Male,39.0,169.0,260.0,Accident
194,Driver_194,34,Female,112.0,245.0,131.25,Normal
196,Driver_196,47,Male,2.0,15.0,450.0,Breakdown
197,Driver_197,39,Female,121.0,470.0,233.0578512,Breakdown
199,Driver_199,43,Male,174.0,292.0,100.6896552,Breakdown
200,Driver_200,34,Female,51.0,610.0,717.6470588,Breakdown
201,Driver_201,37,Male,169.0,399.0,141.6568047,Traffic Jam
202,Driver_202,51,Female,91.0,775.0,510.989011,Traffic Jam
203,Driver_203,58,Female,131.0,601.0,275.2671756,Traffic Jam
205,Driver_205,54,Female,63.0,4.0,3.80952381,Breakdown
206,Driver_206,24,Male,64.0,325.0,304.6875,Traffic Jam
207,Driver_207,39,Female,13.0,102.0,470.7692308,Accident
208,Driver_208,49,Female,38.0,489.0,772.1052632,Breakdown
211,Driver_211,42,Male,147.0,627.0,255.9183673,Accident
212,Driver_212,33,Female,81.0,580.0,429.6296296,Accident
213,Driver_213,59,Female,144.0,803.0,334.5833333,Normal
214,Driver_214,36,Female,126.0,426.0,202.8571429,Normal
215,Driver_215,58,Female,71.0,782.0,660.8450704,Traffic Jam
216,Driver_216,33,Female,152.0,896.0,353.6842105,Normal
217,Driver_217,29,Male,11.0,114.0,621.8181818,Breakdown
218,Driver_218,56,Female,150.0,402.0,160.8,Accident
219,Driver_219,65,Male,60.0,363.0,363.0,Traffic Jam
220,Driver_220,47,Male,130.0,681.0,314.3076923,Normal
221,Driver_221,19,Female,136.0,494.0,217.9411765,Accident
222,Driver_222,49,Male,72.0,971.0,809.1666667,Normal
223,Driver_223,62,Female,38.0,807.0,1274.210526,Traffic Jam
224,Driver_224,42,Male,52.0,555.0,640.3846154,Breakdown
225,Driver_225,42,Male,88.0,324.0,220.9090909,Accident
226,Driver_226,21,Female,63.0,284.0,270.4761905,Normal
227,Driver_227,36,Male,149.0,957.0,385.3691275,Traffic Jam
229,Driver_229,21,Female,159.0,755.0,284.9056604,Normal
230,Driver_230,60,Female,165.0,931.0,338.5454545,Breakdown
232,Driver_232,56,Female,150.0,747.0,298.8,Traffic Jam
233,Driver_233,53,Female,124.0,616.0,298.0645161,Accident
234,Driver_234,40,Male,42.0,691.0,987.1428571,Accident
235,Driver_235,23,Male,187.0,45.0,14.43850267,Normal
236,Driver_236,41,Female,54.0,341.0,378.8888889,Accident
237,Driver_237,61,Male,115.0,565.0,294.7826087,Normal
238,Driver_238,50,Male,179.0,922.0,309.0502793,Normal
239,Driver_239,29,Female,82.0,716.0,523.902439,Accident
240,Driver_240,58,Male,23.0,173.0,451.3043478,Normal
241,Driver_241,38,Female,83.0,82.0,59.27710843,Breakdown
243,Driver_243,61,Male,57.0,596.0,627.3684211,Accident
244,Driver_244,55,Female,197.0,712.0,216.8527919,Breakdown
245,Driver_245,46,Female,89.0,256.0,172.5842697,Traffic Jam
246,Driver_246,65,Female,45.0,837.0,1116.0,Normal
247,Driver_247,58,Female,111.0,608.0,328.6486486,Normal
248,Driver_248,20,Male,88.0,350.0,238.6363636,Normal
249,Driver_249,45,Female,179.0,107.0,35.86592179,Accident
250,Driver_250,37,Male,59.0,755.0,767.7966102,Breakdown
251,Driver_251,43,Female,172.0,604.0,210.6976744,Traffic Jam
252,Driver_252,41,Male,154.0,161.0,62.72727273,Accident
253,Driver_253,69,Male,120.0,492.0,246.0,Accident
254,Driver_254,64,Female,117.0,938.0,481.025641,Accident
255,Driver_255,38,Male,171.0,211.0,74.03508772,Traffic Jam
256,Driver_256,47,Female,121.0,414.0,205.2892562,Accident
257,Driver_257,21,Female,160.0,910.0,341.25,Accident
258,Driver_258,53,Male,30.0,365.0,730.0,Accident
259,Driver_259,57,Male,142.0,650.0,274.6478873,Traffic Jam
260,Driver_260,27,Male,71.0,55.0,46.47887324,Traffic Jam
261,Driver_261,27,Male,96.0,905.0,565.625,Traffic Jam
262,Driver_262,59,Female,189.0,26.0,8.253968254,Traffic Jam
264,Driver_264,21,Female,175.0,530.0,181.7142857,Traffic Jam
265,Driver_265,64,Male,124.0,498.0,240.9677419,Breakdown
266,Driver_266,44,Male,109.0,432.0,237.7981651,Breakdown
267,Driver_267,68,Female,118.0,529.0,268.9830508,Normal
268,Driver_268,62,Male,171.0,562.0,197.1929825,Accident
269,Driver_269,21,Female,15.0,63.0,252.0,Normal
270,Driver_270,49,Male,68.0,840.0,741.1764706,Traffic Jam
271,Driver_271,27,Male,85.0,863.0,609.1764706,Normal
272,Driver_272,28,Female,167.0,977.0,351.0179641,Accident
273,Driver_273,45,Female,106.0,87.0,49.24528302,Accident
274,Driver_274,63,Female,94.0,508.0,324.2553191,Breakdown
276,Driver_276,57,Female,81.0,266.0,197.037037,Normal
277,Driver_277,39,Female,186.0,943.0,304.1935484,Accident
279,Driver_279,62,Male,43.0,89.0,124.1860465,Normal
280,Driver_280,52,Female,182.0,382.0,125.9340659,Traffic Jam
281,Driver_281,52,Male,125.0,374.0,179.52,Accident
282,Driver_282,42,Male,175.0,407.0,139.5428571,Traffic Jam
283,Driver_283,51,Female,22.0,185.0,504.5454545,Traffic Jam
284,Driver_284,23,Male,31.0,591.0,1143.870968,Accident
285,Driver_285,58,Male,116.0,558.0,288.6206897,Normal
286,Driver_286,54,Female,34.0,802.0,1415.294118,Traffic Jam
287,Driver_287,18,Male,42.0,703.0,1004.285714,Breakdown
288,Driver_288,29,Female,68.0,517.0,456.1764706,Normal
289,Driver_289,52,Male,122.0,838.0,412.1311475,Accident
290,Driver_290,23,Male,62.0,638.0,617.4193548,Accident
291,Driver_291,34,Female,36.0,77.0,128.3333333,Accident
292,Driver_292,26,Male,83.0,682.0,493.0120482,Accident
293,Driver_293,19,Male,172.0,397.0,138.4883721,Accident
294,Driver_294,35,Female,111.0,769.0,415.6756757,Breakdown
295,Driver_295,66,Female,198.0,710.0,215.1515152,Accident
297,Driver_297,45,Male,176.0,746.0,254.3181818,Accident
298,Driver_298,58,Female,137.0,354.0,155.0364964,Breakdown
300,Driver_300,66,Female,77.0,628.0,489.3506494,Traffic Jam
301,Driver_301,43,Female,184.0,834.0,271.9565217,Accident
302,Driver_302,21,Male,137.0,395.0,172.9927007,Breakdown
303,Driver_303,57,Female,66.0,199.0,180.9090909,Normal
304,Driver_304,53,Female,9.0,123.0,820.0,Accident
305,Driver_305,68,Male,110.0,17.0,9.272727273,Accident
306,Driver_306,48,Female,164.0,712.0,260.4878049,Accident
307,Driver_307,47,Male,28.0,412.0,882.8571429,Accident
308,Driver_308,67,Male,64.0,295.0,276.5625,Normal
309,Driver_309,51,Male,124.0,108.0,52.25806452,Breakdown
310,Driver_310,36,Female,141.0,85.0,36.17021277,Breakdown
312,Driver_312,47,Male,165.0,723.0,262.9090909,Traffic Jam
313,Driver_313,38,Male,199.0,628.0,189.3467337,Traffic Jam
314,Driver_314,20,Male,87.0,455.0,313.7931034,Traffic Jam
316,Driver_316,55,Female,111.0,675.0,364.8648649,Traffic Jam
317,Driver_317,30,Male,80.0,114.0,85.5,Normal
318,Driver_318,62,Female,82.0,715.0,523.1707317,Accident
319,Driver_319,20,Female,50.0,768.0,921.6,Normal
320,Driver_320,65,Female,189.0,360.0,114.2857143,Normal
322,Driver_322,39,Female,35.0,41.0,70.28571429,Breakdown
323,Driver_323,57,Female,53.0,924.0,1046.037736,Normal
324,Driver_324,57,Female,26.0,95.0,219.2307692,Breakdown
325,Driver_325,29,Female,113.0,165.0,87.61061947,Normal
326,Driver_326,40,Female,103.0,99.0,57.66990291,Normal
327,Driver_327,48,Male,42.0,572.0,817.1428571,Breakdown
328,Driver_328,35,Female,46.0,602.0,785.2173913,Accident
329,Driver_329,24,Female,197.0,924.0,281.4213198,Normal
331,Driver_331,36,Male,127.0,128.0,60.47244094,Traffic Jam
332,Driver_332,46,Male,171.0,955.0,335.0877193,Traffic Jam
333,Driver_333,61,Male,83.0,288.0,208.1927711,Accident
334,Driver_334,37,Female,62.0,817.0,790.6451613,Breakdown
335,Driver_335,67,Female,74.0,127.0,102.972973,Normal
336,Driver_336,59,Female,137.0,388.0,169.9270073,Traffic Jam
337,Driver_337,47,Female,75.0,321.0,256.8,Normal
338,Driver_338,64,Female,96.0,550.0,343.75,Traffic Jam
339,Driver_339,39,Male,166.0,504.0,182.1686747,Breakdown
340,Driver_340,27,Female,31.0,680.0,1316.129032,Breakdown
341,Driver_341,43,Male,150.0,13.0,5.2,Traffic Jam
342,Driver_342,68,Male,126.0,853.0,406.1904762,Traffic Jam
343,Driver_343,50,Male,91.0,460.0,303.2967033,Traffic Jam
344,Driver_344,45,Female,57.0,333.0,350.5263158,Normal
346,Driver_346,46,Male,61.0,371.0,364.9180328,Accident
348,Driver_348,35,Male,115.0,944.0,492.5217391,Traffic Jam
349,Driver_349,59,Male,107.0,314.0,176.0747664,Accident
350,Driver_350,18,Male,99.0,150.0,90.90909091,Normal
351,Driver_351,40,Male,169.0,877.0,311.3609467,Traffic Jam
352,Driver_352,34,Female,151.0,525.0,208.6092715,Accident
353,Driver_353,60,Male,52.0,658.0,759.2307692,Normal
354,Driver_354,54,Male,23.0,424.0,1106.086957,Normal
355,Driver_355,48,Male,122.0,928.0,456.3934426,Breakdown
356,Driver_356,42,Male,72.0,624.0,520.0,Breakdown
357,Driver_357,21,Male,41.0,670.0,980.4878049,Normal
358,Driver_358,69,Female,60.0,440.0,440.0,Normal
359,Driver_359,26,Male,47.0,450.0,574.4680851,Normal
360,Driver_360,45,Female,143.0,294.0,123.3566434,Traffic Jam
361,Driver_361,47,Male,36.0,513.0,855.0,Traffic Jam
362,Driver_362,64,Male,193.0,792.0,246.2176166,Normal
363,Driver_363,41,Female,94.0,910.0,580.8510638,Accident
364,Driver_364,50,Male,42.0,137.0,195.7142857,Normal
366,Driver_366,26,Female,134.0,54.0,24.17910448,Accident
367,Driver_367,25,Female,67.0,211.0,188.9552239,Traffic Jam
368,Driver_368,41,Female,31.0,337.0,652.2580645,Traffic Jam
371,Driver_371,18,Male,195.0,391.0,120.3076923,Normal
372,Driver_372,29,Female,26.0,412.0,950.7692308,Traffic Jam
375,Driver_375,43,Female,81.0,553.0,409.6296296,Traffic Jam
376,Driver_376,50,Female,55.0,667.0,727.6363636,Accident
377,Driver_377,60,Female,125.0,351.0,168.48,Traffic Jam
378,Driver_378,32,Male,43.0,973.0,1357.674419,Accident
379,Driver_379,40,Female,67.0,442.0,395.8208955,Normal
380,Driver_380,46,Female,20.0,302.0,906.0,Traffic Jam
381,Driver_381,38,Male,119.0,849.0,428.0672269,Breakdown
382,Driver_382,36,Female,14.0,315.0,1350.0,Accident
383,Driver_383,22,Male,14.0,152.0,651.4285714,Accident
384,Driver_384,40,Female,80.0,767.0,575.25,Breakdown
385,Driver_385,53,Male,191.0,243.0,76.33507853,Accident
386,Driver_386,37,Female,117.0,747.0,383.0769231,Traffic Jam
387,Driver_387,25,Male,43.0,969.0,1352.093023,Accident
388,Driver_388,26,Female,155.0,465.0,180.0,Accident
389,Driver_389,31,Female,102.0,246.0,144.7058824,Accident
390,Driver_390,23,Male,148.0,894.0,362.4324324,Breakdown
391,Driver_391,18,Female,23.0,531.0,1385.217391,Traffic Jam
394,Driver_394,33,Male,65.0,487.0,449.5384615,Breakdown
397,Driver_397,57,Female,185.0,997.0,323.3513514,Traffic Jam
398,Driver_398,46,Female,68.0,752.0,663.5294118,Traffic Jam
399,Driver_399,63,Male,45.0,833.0,1110.666667,Normal
400,Driver_400,44,Male,167.0,388.0,139.4011976,Normal
402,Driver_402,64,Male,86.0,917.0,639.7674419,Breakdown
403,Driver_403,67,Female,17.0,176.0,621.1764706,Breakdown
404,Driver_404,45,Male,180.0,447.0,149.0,Traffic Jam
405,Driver_405,69,Female,136.0,354.0,156.1764706,Accident
406,Driver_406,53,Female,5.0,25.0,300.0,Accident
407,Driver_407,59,Female,86.0,723.0,504.4186047,Accident
408,Driver_408,36,Female,82.0,809.0,591.9512195,Traffic Jam
409,Driver_409,52,Female,10.0,138.0,828.0,Traffic Jam
410,Driver_410,69,Female,62.0,329.0,318.3870968,Normal
411,Driver_411,48,Female,29.0,200.0,413.7931034,Breakdown
412,Driver_412,61,Male,139.0,477.0,205.8992806,Normal
413,Driver_413,36,Male,158.0,298.0,113.164557,Accident
414,Driver_414,63,Male,71.0,788.0,665.915493,Accident
415,Driver_415,41,Female,58.0,727.0,752.0689655,Breakdown
416,Driver_416,19,Male,42.0,324.0,462.8571429,Traffic Jam
417,Driver_417,24,Male,71.0,975.0,823.943662,Normal
418,Driver_418,60,Male,153.0,128.0,50.19607843,Breakdown
419,Driver_419,66,Male,54.0,632.0,702.2222222,Accident
420,Driver_420,48,Female,118.0,835.0,424.5762712,Accident
421,Driver_421,34,Female,83.0,728.0,526.2650602,Breakdown
422,Driver_422,44,Male,25.0,236.0,566.4,Normal
423,Driver_423,53,Female,173.0,25.0,8.670520231,Traffic Jam
424,Driver_424,67,Female,121.0,597.0,296.0330579,Accident
425,Driver_425,60,Female,131.0,676.0,309.6183206,Traffic Jam
426,Driver_426,27,Female,116.0,891.0,460.862069,Accident
427,Driver_427,62,Female,83.0,431.0,311.5662651,Traffic Jam
428,Driver_428,31,Male,37.0,545.0,883.7837838,Accident
429,Driver_429,24,Female,161.0,803.0,299.2546584,Accident
430,Driver_430,56,Male,188.0,555.0,177.1276596,Breakdown
431,Driver_431,57,Female,108.0,861.0,478.3333333,Accident
432,Driver_432,26,Male,7.0,38.0,325.7142857,Traffic Jam
433,Driver_433,31,Male,188.0,229.0,73.08510638,Normal
434,Driver_434,25,Female,165.0,851.0,309.4545455,Breakdown
435,Driver_435,34,Male,84.0,56.0,40.0,Traffic Jam
436,Driver_436,40,Female,98.0,875.0,535.7142857,Breakdown
438,Driver_438,43,Male,173.0,356.0,123.4682081,Breakdown
439,Driver_439,26,Female,167.0,66.0,23.71257485,Traffic Jam
440,Driver_440,53,Male,33.0,350.0,636.3636364,Accident
441,Driver_441,24,Female,97.0,661.0,408.8659794,Breakdown
442,Driver_442,35,Male,65.0,230.0,212.3076923,Accident
443,Driver_443,25,Female,87.0,356.0,245.5172414,Breakdown
444,Driver_444,38,Male,68.0,815.0,719.1176471,Breakdown
445,Driver_445,43,Male,24.0,355.0,887.5,Traffic Jam
446,Driver_446,20,Female,6.0,92.0,920.0,Traffic Jam
447,Driver_447,34,Female,97.0,63.0,38.96907216,Accident
448,Driver_448,68,Male,114.0,63.0,33.15789474,Breakdown
449,Driver_449,63,Female,60.0,498.0,498.0,Normal
450,Driver_450,41,Male,61.0,252.0,247.8688525,Accident
451,Driver_451,42,Male,187.0,591.0,189.6256684,Breakdown
452,Driver_452,22,Male,121.0,875.0,433.8842975,Breakdown
453,Driver_453,54,Female,29.0,159.0,328.9655172,Breakdown
454,Driver_454,62,Female,28.0,348.0,745.7142857,Accident
455,Driver_455,67,Female,152.0,52.0,20.52631579,Traffic Jam
456,Driver_456,41,Male,131.0,517.0,236.7938931,Breakdown
457,Driver_457,48,Male,149.0,709.0,285.5033557,Traffic Jam
459,Driver_459,38,Female,84.0,746.0,532.8571429,Traffic Jam
461,Driver_461,55,Female,119.0,260.0,131.092437,Normal
463,Driver_463,45,Female,154.0,493.0,192.0779221,Normal
464,Driver_464,47,Female,192.0,101.0,31.5625,Accident
465,Driver_465,51,Female,110.0,412.0,224.7272727,Normal
466,Driver_466,69,Male,131.0,654.0,299.5419847,Traffic Jam
467,Driver_467,69,Male,53.0,301.0,340.754717,Normal
468,Driver_468,40,Male,37.0,257.0,416.7567568,Traffic Jam
470,Driver_470,59,Female,120.0,734.0,367.0,Traffic Jam
471,Driver_471,67,Female,80.0,847.0,635.25,Accident
472,Driver_472,27,Female,139.0,129.0,55.68345324,Normal
473,Driver_473,18,Male,130.0,257.0,118.6153846,Normal
474,Driver_474,37,Male,54.0,97.0,107.7777778,Breakdown
477,Driver_477,38,Male,125.0,30.0,14.4,Traffic Jam
478,Driver_478,66,Male,78.0,390.0,300.0,Breakdown
479,Driver_479,21,Female,133.0,70.0,31.57894737,Normal
480,Driver_480,60,Male,78.0,698.0,536.9230769,Normal
481,Driver_481,19,Female,81.0,287.0,212.5925926,Breakdown
482,Driver_482,38,Male,110.0,787.0,429.2727273,Traffic Jam
483,Driver_483,54,Female,108.0,619.0,343.8888889,Traffic Jam
484,Driver_484,22,Male,30.0,17.0,34.0,Breakdown
485,Driver_485,34,Male,98.0,888.0,543.6734694,Normal
487,Driver_487,65,Female,128.0,204.0,95.625,Traffic Jam
488,Driver_488,28,Female,93.0,10.0,6.451612903,Normal
